Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2016 00:00,22,5,ENE,Light rain shower,0.5,97,10,1014,69,25,22,22,9,25,1
1/1/2016 01:00,22,5,ENE,Light rain shower,0.2,97,7,1014,80,25,22,22,10,25,1
1/1/2016 02:00,22,6,E,Fog,0.0,97,3,1014,90,25,21,22,10,22,1
1/1/2016 03:00,22,6,ESE,Fog,0.0,98,0,1013,100,24,21,22,10,22,1
1/1/2016 04:00,23,8,E,Fog,0.0,92,3,1014,84,26,22,23,12,26,1
1/1/2016 05:00,25,10,E,Partly cloudy,0.0,86,7,1015,67,27,22,24,13,27,1
1/1/2016 06:00,26,12,E,Partly cloudy,0.0,80,10,1015,51,28,22,26,14,28,1
1/1/2016 07:00,27,15,ENE,Partly cloudy,0.0,76,10,1015,56,30,22,27,18,30,1
1/1/2016 08:00,28,19,ENE,Cloudy,0.0,72,10,1015,62,31,22,28,23,31,1
1/1/2016 09:00,29,23,ENE,Cloudy,0.0,67,10,1015,67,32,22,29,27,32,1
1/1/2016 10:00,29,23,ENE,Cloudy,0.0,68,10,1014,64,32,22,29,27,32,1
1/1/2016 11:00,28,22,ENE,Light rain shower,0.3,70,10,1014,60,31,22,28,28,31,1
1/1/2016 12:00,28,22,ENE,Light rain shower,0.4,71,10,1013,57,31,22,28,28,31,1
1/1/2016 13:00,27,20,ENE,Light rain shower,0.2,74,10,1013,50,30,22,27,27,30,1
1/1/2016 14:00,26,18,ENE,Partly cloudy,0.0,78,10,1014,44,29,22,26,26,29,1
1/1/2016 15:00,25,17,ENE,Partly cloudy,0.0,82,10,1014,37,28,22,26,25,28,1
1/1/2016 16:00,25,14,NE,Partly cloudy,0.0,86,10,1014,43,27,22,25,23,27,1
1/1/2016 17:00,24,12,NE,Light rain shower,0.1,90,10,1015,49,26,22,24,20,26,1
1/1/2016 18:00,23,10,NE,Light rain shower,0.1,94,10,1016,56,25,22,23,18,25,1
1/1/2016 19:00,23,9,NE,Light rain shower,0.0,94,7,1016,60,25,22,23,16,25,1
1/1/2016 20:00,22,8,NE,Mist,0.0,95,5,1016,64,25,21,22,14,25,1
1/1/2016 21:00,22,6,ENE,Mist,0.0,95,2,1016,68,25,21,22,12,25,1
1/1/2016 22:00,22,6,ENE,Mist,0.0,95,5,1016,70,25,21,22,11,25,1
1/1/2016 23:00,22,6,ENE,Light rain shower,0.1,96,7,1015,72,25,21,22,10,25,1
2/1/2016 00:00,22,5,ENE,Light rain shower,0.1,96,10,1015,74,25,21,22,9,25,1
2/1/2016 01:00,22,5,ENE,Light rain shower,0.1,96,10,1015,77,25,21,22,9,22,1
2/1/2016 02:00,22,5,E,Light rain shower,0.1,96,10,1015,80,24,21,22,8,22,1
2/1/2016 03:00,22,4,E,Light rain shower,0.1,97,10,1015,82,24,21,22,8,22,1
2/1/2016 04:00,23,6,E,Light rain shower,0.1,92,10,1015,74,26,21,23,9,26,1
2/1/2016 05:00,24,7,E,Partly cloudy,0.0,86,10,1016,66,27,22,24,9,27,1
2/1/2016 06:00,26,8,E,Partly cloudy,0.0,81,10,1016,58,28,22,26,10,28,1
2/1/2016 07:00,27,11,ENE,Partly cloudy,0.0,76,10,1016,67,29,22,27,13,29,1
2/1/2016 08:00,28,14,ENE,Cloudy,0.0,71,10,1016,77,31,22,28,16,31,1
2/1/2016 09:00,29,16,ENE,Cloudy,0.0,66,10,1016,86,32,22,29,19,32,1
2/1/2016 10:00,29,17,ENE,Cloudy,0.0,67,10,1015,80,32,22,29,22,32,1
2/1/2016 11:00,29,18,NE,Light rain shower,0.5,69,10,1015,73,32,22,29,25,32,1
2/1/2016 12:00,28,19,NE,Light rain shower,0.7,71,10,1014,67,32,23,29,28,32,1
2/1/2016 13:00,27,17,NE,Light rain shower,0.4,75,10,1014,57,31,23,27,25,31,1
2/1/2016 14:00,26,14,NE,Partly cloudy,0.0,79,10,1014,48,29,22,26,22,29,1
2/1/2016 15:00,25,12,NE,Partly cloudy,0.0,84,10,1014,39,28,22,25,18,28,1
2/1/2016 16:00,24,11,NE,Partly cloudy,0.0,87,7,1014,40,27,22,24,18,27,1
2/1/2016 17:00,23,10,NE,Mist,0.0,91,5,1015,40,26,22,23,18,26,1
2/1/2016 18:00,23,9,ENE,Mist,0.0,95,2,1016,41,25,22,23,17,25,1
2/1/2016 19:00,23,8,ENE,Mist,0.0,95,2,1016,54,25,22,23,14,25,1
2/1/2016 20:00,23,6,ENE,Mist,0.0,95,2,1016,66,25,22,23,11,25,1
2/1/2016 21:00,23,5,E,Mist,0.0,95,2,1016,79,25,22,23,8,25,1
2/1/2016 22:00,23,4,E,Mist,0.0,95,2,1016,80,25,22,23,7,25,1
2/1/2016 23:00,23,4,E,Mist,0.0,94,2,1015,81,25,22,23,6,25,1
3/1/2016 00:00,23,3,ENE,Mist,0.0,94,2,1015,83,25,22,23,5,25,1
3/1/2016 01:00,23,4,ENE,Mist,0.0,95,2,1015,83,25,22,23,7,25,1
3/1/2016 02:00,22,5,NE,Mist,0.0,96,2,1015,83,25,22,22,8,25,1
3/1/2016 03:00,22,5,NNE,Mist,0.0,97,2,1015,83,25,22,22,9,25,1
3/1/2016 04:00,23,8,NNE,Mist,0.0,92,5,1015,77,26,22,23,11,26,1
3/1/2016 05:00,24,10,NE,Cloudy,0.0,88,7,1015,72,27,22,24,14,27,1
3/1/2016 06:00,25,13,NE,Cloudy,0.0,84,10,1016,67,28,22,25,16,28,1
3/1/2016 07:00,27,15,NE,Cloudy,0.0,77,10,1016,62,29,22,27,18,29,1
3/1/2016 08:00,28,18,NE,Partly cloudy,0.0,70,10,1015,58,31,22,28,21,31,1
3/1/2016 09:00,30,20,NE,Partly cloudy,0.0,63,10,1015,54,33,22,30,23,33,1
3/1/2016 10:00,30,21,NE,Partly cloudy,0.0,61,10,1014,50,33,21,30,24,33,1
3/1/2016 11:00,30,22,NE,Patchy rain possible,0.1,59,9,1013,47,33,21,30,26,33,1
3/1/2016 12:00,30,23,NE,Patchy rain possible,0.1,57,9,1012,43,33,21,30,27,33,1
3/1/2016 13:00,29,21,ENE,Patchy rain possible,0.0,63,9,1012,48,32,21,29,26,32,1
3/1/2016 14:00,28,19,ENE,Partly cloudy,0.0,69,10,1012,53,30,21,28,26,30,1
3/1/2016 15:00,26,17,ENE,Partly cloudy,0.0,75,10,1012,58,29,22,27,25,29,1
3/1/2016 16:00,25,15,ENE,Partly cloudy,0.0,81,10,1013,62,28,22,25,24,28,1
3/1/2016 17:00,24,13,ENE,Cloudy,0.0,87,10,1013,67,27,22,24,22,27,1
3/1/2016 18:00,23,12,ENE,Cloudy,0.0,92,10,1014,72,26,22,23,21,26,1
3/1/2016 19:00,23,10,ENE,Cloudy,0.0,93,7,1014,74,25,22,23,18,25,1
3/1/2016 20:00,23,8,ENE,Mist,0.0,94,5,1015,75,25,22,23,15,25,1
3/1/2016 21:00,23,6,ENE,Mist,0.0,95,2,1015,77,25,22,23,11,25,1
3/1/2016 22:00,22,6,ENE,Mist,0.0,96,2,1014,79,24,21,22,11,24,1
3/1/2016 23:00,22,5,ENE,Moderate rain at times,0.2,97,3,1012,80,24,21,22,10,22,1
4/1/2016 00:00,21,5,ENE,Moderate rain at times,0.3,98,3,1011,82,23,21,21,9,21,1
4/1/2016 01:00,21,4,E,Moderate rain at times,0.1,98,3,1011,83,23,21,21,8,21,1
4/1/2016 02:00,21,4,E,Overcast,0.0,98,2,1011,83,23,21,21,7,21,1
4/1/2016 03:00,21,3,ESE,Overcast,0.0,98,2,1011,84,22,21,21,6,21,1
4/1/2016 04:00,22,4,ESE,Overcast,0.0,94,4,1012,76,24,21,22,7,24,1
4/1/2016 05:00,23,5,ESE,Patchy rain possible,0.1,90,6,1012,67,25,21,23,8,25,1
4/1/2016 06:00,24,7,ESE,Patchy rain possible,0.2,86,8,1013,58,26,22,24,9,26,1
4/1/2016 07:00,25,8,E,Patchy rain possible,0.1,79,9,1012,53,28,21,25,10,28,1
4/1/2016 08:00,27,9,ENE,Partly cloudy,0.0,73,9,1012,49,29,21,27,11,29,1
4/1/2016 09:00,28,11,NE,Partly cloudy,0.0,67,10,1012,44,30,21,28,13,30,1
4/1/2016 10:00,28,12,NE,Partly cloudy,0.0,67,10,1011,58,30,21,28,14,30,1
4/1/2016 11:00,28,13,NE,Moderate rain at times,0.2,66,9,1011,71,30,21,28,16,30,1
4/1/2016 12:00,28,13,ENE,Moderate rain at times,0.2,65,9,1010,85,31,20,28,17,31,1
4/1/2016 13:00,27,12,ENE,Moderate rain at times,0.1,70,9,1010,69,29,21,27,17,29,1
4/1/2016 14:00,26,11,E,Partly cloudy,0.0,75,9,1010,54,28,21,26,16,28,1
4/1/2016 15:00,25,10,E,Partly cloudy,0.0,79,9,1010,38,27,21,25,16,27,1
4/1/2016 16:00,24,9,ESE,Partly cloudy,0.0,84,8,1010,53,26,21,24,16,26,1
4/1/2016 17:00,23,9,ESE,Patchy rain possible,0.1,88,7,1011,67,25,21,23,15,25,1
4/1/2016 18:00,22,8,ESE,Patchy rain possible,0.1,92,6,1012,81,24,21,22,15,24,1
4/1/2016 19:00,22,7,ESE,Patchy rain possible,0.1,94,4,1012,72,24,21,22,14,22,1
4/1/2016 20:00,21,7,ESE,Cloudy,0.0,95,3,1012,64,23,20,21,13,21,1
4/1/2016 21:00,21,6,ESE,Cloudy,0.0,96,2,1012,55,22,20,21,12,21,1
4/1/2016 22:00,21,7,ESE,Cloudy,0.0,95,2,1012,56,23,20,21,12,21,1
4/1/2016 23:00,22,7,ESE,Cloudy,0.0,94,3,1012,56,23,20,22,12,22,1
5/1/2016 00:00,22,7,ESE,Cloudy,0.0,92,3,1012,56,24,21,22,12,24,1
5/1/2016 01:00,22,8,ESE,Cloudy,0.0,90,3,1012,56,24,21,22,13,24,1
5/1/2016 02:00,23,8,ESE,Cloudy,0.0,89,4,1012,56,25,21,23,13,25,1
5/1/2016 03:00,23,8,ESE,Cloudy,0.0,87,4,1012,56,25,21,23,13,25,1
5/1/2016 04:00,24,9,ESE,Cloudy,0.0,84,5,1013,56,26,21,24,14,26,1
5/1/2016 05:00,25,10,E,Cloudy,0.0,81,5,1013,57,27,21,25,14,27,1
5/1/2016 06:00,26,11,E,Cloudy,0.0,78,6,1013,57,28,21,26,14,28,1
5/1/2016 07:00,27,12,E,Cloudy,0.0,72,7,1013,57,30,22,27,15,30,1
5/1/2016 08:00,29,13,ENE,Partly cloudy,0.0,67,9,1014,58,32,22,29,16,32,1
5/1/2016 09:00,30,15,ENE,Partly cloudy,0.0,61,10,1014,58,34,22,31,17,34,1
5/1/2016 10:00,30,16,ENE,Partly cloudy,0.0,62,10,1013,59,34,22,30,18,34,1
5/1/2016 11:00,30,16,ENE,Light rain shower,0.2,62,10,1013,60,34,22,30,20,34,1
5/1/2016 12:00,30,17,ENE,Light rain shower,0.2,63,10,1012,61,34,22,30,21,34,1
5/1/2016 13:00,29,16,ENE,Light rain shower,0.1,67,10,1012,54,33,22,29,22,33,1
5/1/2016 14:00,28,16,ENE,Partly cloudy,0.0,71,10,1012,47,31,22,28,22,31,1
5/1/2016 15:00,27,15,ENE,Partly cloudy,0.0,74,10,1012,40,30,22,27,23,30,1
5/1/2016 16:00,26,14,ENE,Partly cloudy,0.0,80,10,1012,37,29,22,26,22,29,1
5/1/2016 17:00,25,12,ENE,Partly cloudy,0.0,86,10,1013,33,27,22,25,21,27,1
5/1/2016 18:00,24,11,ENE,Partly cloudy,0.0,91,10,1014,29,26,22,24,21,26,1
5/1/2016 19:00,23,10,ENE,Partly cloudy,0.0,92,10,1014,34,26,22,23,19,26,1
5/1/2016 20:00,23,9,E,Partly cloudy,0.0,93,10,1014,38,26,22,23,17,26,1
5/1/2016 21:00,23,8,E,Partly cloudy,0.0,94,10,1014,43,25,22,23,16,25,1
5/1/2016 22:00,23,7,E,Partly cloudy,0.0,94,7,1014,46,25,22,23,14,25,1
5/1/2016 23:00,23,7,E,Mist,0.0,95,5,1013,48,25,22,23,13,25,1
6/1/2016 00:00,22,6,ENE,Mist,0.0,95,2,1013,51,25,22,22,11,25,1
6/1/2016 01:00,22,6,E,Mist,0.0,96,1,1013,67,25,22,22,11,25,1
6/1/2016 02:00,22,5,E,Fog,0.0,97,1,1013,84,25,22,22,10,25,1
6/1/2016 03:00,22,5,E,Fog,0.0,97,0,1013,100,25,22,22,10,25,1
6/1/2016 04:00,24,7,ENE,Fog,0.0,91,3,1013,80,26,22,24,11,26,1
6/1/2016 05:00,25,10,ENE,Partly cloudy,0.0,84,7,1014,59,28,22,25,13,28,1
6/1/2016 06:00,27,12,ENE,Partly cloudy,0.0,78,10,1014,39,29,22,27,14,29,1
6/1/2016 07:00,28,14,ENE,Partly cloudy,0.0,73,10,1014,52,30,22,28,16,30,1
6/1/2016 08:00,29,16,ENE,Cloudy,0.0,67,10,1014,64,32,22,29,19,32,1
6/1/2016 09:00,30,18,ENE,Cloudy,0.0,62,10,1014,77,33,22,30,21,33,1
6/1/2016 10:00,30,19,ENE,Cloudy,0.0,62,10,1013,69,33,22,30,23,33,1
6/1/2016 11:00,30,21,ENE,Light rain shower,0.2,61,10,1013,60,34,22,30,25,34,1
6/1/2016 12:00,30,22,ENE,Light rain shower,0.2,61,10,1012,52,34,22,30,27,34,1
6/1/2016 13:00,29,21,ENE,Light rain shower,0.1,64,10,1012,51,32,22,29,27,32,1
6/1/2016 14:00,28,20,ENE,Partly cloudy,0.0,67,10,1012,50,31,21,28,27,31,1
6/1/2016 15:00,27,18,ENE,Partly cloudy,0.0,70,10,1012,49,29,21,27,27,29,1
6/1/2016 16:00,26,16,ENE,Partly cloudy,0.0,77,10,1012,56,28,21,26,25,28,1
6/1/2016 17:00,25,14,ENE,Cloudy,0.0,83,10,1013,63,27,22,25,23,27,1
6/1/2016 18:00,24,12,ENE,Cloudy,0.0,89,10,1014,70,26,22,24,21,26,1
6/1/2016 19:00,23,10,E,Cloudy,0.0,91,10,1014,75,26,22,24,18,26,1
6/1/2016 20:00,23,8,E,Cloudy,0.0,92,10,1014,81,26,22,23,15,26,1
6/1/2016 21:00,23,7,E,Cloudy,0.0,94,10,1015,87,25,22,23,12,25,1
6/1/2016 22:00,23,6,E,Cloudy,0.0,95,10,1014,84,25,22,23,11,25,1
6/1/2016 23:00,23,6,E,Light rain shower,0.1,95,10,1014,80,25,22,23,10,25,1
7/1/2016 00:00,23,5,E,Light rain shower,0.1,96,10,1013,77,25,22,23,9,25,1
7/1/2016 01:00,22,5,E,Light rain shower,0.1,96,10,1013,75,25,22,22,10,25,1
7/1/2016 02:00,22,5,E,Light rain shower,0.1,96,10,1013,74,25,22,22,10,25,1
7/1/2016 03:00,22,5,E,Light rain shower,0.1,96,10,1014,72,25,22,22,10,25,1
7/1/2016 04:00,23,8,E,Light rain shower,0.1,91,10,1014,70,26,22,23,12,26,1
7/1/2016 05:00,25,10,E,Cloudy,0.0,86,10,1015,68,27,22,25,14,27,1
7/1/2016 06:00,26,13,E,Cloudy,0.0,80,10,1015,66,28,22,26,15,28,1
7/1/2016 07:00,27,16,ENE,Cloudy,0.0,74,10,1015,63,30,22,27,19,30,1
7/1/2016 08:00,28,19,ENE,Partly cloudy,0.0,69,10,1015,61,31,22,28,23,31,1
7/1/2016 09:00,30,23,ENE,Partly cloudy,0.0,63,10,1016,59,33,22,30,26,33,1
7/1/2016 10:00,30,22,ENE,Partly cloudy,0.0,61,10,1015,55,33,22,30,26,33,1
7/1/2016 11:00,30,22,ENE,Patchy rain possible,0.1,60,9,1014,51,33,21,30,26,33,1
7/1/2016 12:00,30,22,ENE,Patchy rain possible,0.1,59,9,1013,47,33,21,30,26,33,1
7/1/2016 13:00,29,20,ENE,Patchy rain possible,0.1,65,9,1013,50,32,21,29,25,32,1
7/1/2016 14:00,28,18,ENE,Partly cloudy,0.0,70,10,1013,54,30,22,28,24,30,1
7/1/2016 15:00,26,16,ENE,Partly cloudy,0.0,76,10,1013,57,29,22,26,23,29,1
7/1/2016 16:00,25,14,ENE,Partly cloudy,0.0,82,10,1014,67,28,22,25,21,28,1
7/1/2016 17:00,24,12,ENE,Overcast,0.0,87,10,1014,78,27,22,24,19,27,1
7/1/2016 18:00,23,9,ENE,Overcast,0.0,92,10,1015,88,26,22,23,17,26,1
7/1/2016 19:00,23,9,ENE,Overcast,0.0,93,10,1015,87,26,22,23,15,26,1
7/1/2016 20:00,23,8,ENE,Cloudy,0.0,93,10,1015,86,25,22,23,14,25,1
7/1/2016 21:00,23,7,ENE,Cloudy,0.0,93,10,1015,85,25,22,23,12,25,1
7/1/2016 22:00,23,6,ENE,Cloudy,0.0,94,7,1015,81,25,22,23,11,25,1
7/1/2016 23:00,22,5,NE,Mist,0.0,94,5,1014,76,25,21,22,10,25,1
8/1/2016 00:00,22,5,NE,Mist,0.0,95,2,1014,71,25,21,22,9,25,1
8/1/2016 01:00,22,6,NE,Mist,0.0,95,2,1014,63,25,21,22,11,25,1
8/1/2016 02:00,22,7,NE,Mist,0.0,95,2,1014,54,25,21,22,13,22,1
8/1/2016 03:00,22,8,NE,Mist,0.0,95,2,1014,45,25,21,22,16,22,1
8/1/2016 04:00,23,11,NE,Mist,0.0,88,5,1015,45,26,21,23,17,26,1
8/1/2016 05:00,25,14,NE,Partly cloudy,0.0,80,7,1015,44,27,21,25,18,27,1
8/1/2016 06:00,26,17,NE,Partly cloudy,0.0,73,10,1016,44,29,21,26,20,29,1
8/1/2016 07:00,27,18,NE,Partly cloudy,0.0,68,10,1016,45,30,21,27,21,30,1
8/1/2016 08:00,28,19,NE,Partly cloudy,0.0,63,10,1016,47,31,21,28,22,31,1
8/1/2016 09:00,29,20,NE,Partly cloudy,0.0,58,10,1016,49,32,21,30,23,32,1
8/1/2016 10:00,29,20,NE,Partly cloudy,0.0,58,10,1015,58,32,20,29,23,32,1
8/1/2016 11:00,29,21,NE,Cloudy,0.0,57,10,1014,66,32,20,29,24,32,1
8/1/2016 12:00,29,21,NE,Cloudy,0.0,57,10,1013,75,32,20,29,24,32,1
8/1/2016 13:00,28,19,NE,Cloudy,0.0,61,10,1013,61,30,20,28,24,30,1
8/1/2016 14:00,27,17,NE,Partly cloudy,0.0,64,10,1013,48,29,20,27,24,29,1
8/1/2016 15:00,27,15,NE,Partly cloudy,0.0,68,10,1013,34,28,20,27,23,28,1
8/1/2016 16:00,25,14,NE,Partly cloudy,0.0,73,10,1014,30,27,20,25,22,27,1
8/1/2016 17:00,24,12,NE,Sunny,0.0,78,10,1014,27,26,20,24,20,26,1
8/1/2016 18:00,23,10,NE,Sunny,0.0,83,10,1014,23,25,20,23,18,25,1
8/1/2016 19:00,23,8,NE,Clear,0.0,85,10,1015,27,25,20,23,16,25,1
8/1/2016 20:00,23,7,NE,Partly cloudy,0.0,87,10,1015,32,25,20,23,14,25,1
8/1/2016 21:00,22,6,NE,Partly cloudy,0.0,89,10,1015,36,25,20,22,11,25,1
8/1/2016 22:00,22,5,ENE,Partly cloudy,0.0,90,10,1014,44,25,20,22,10,22,1
8/1/2016 23:00,22,5,ENE,Partly cloudy,0.0,91,10,1014,51,24,20,22,10,22,1
9/1/2016 00:00,21,4,ENE,Partly cloudy,0.0,93,10,1013,59,24,20,22,9,22,1
9/1/2016 01:00,21,4,E,Partly cloudy,0.0,93,7,1013,64,24,20,21,9,21,1
9/1/2016 02:00,21,5,E,Mist,0.0,94,5,1013,69,24,20,21,9,21,1
9/1/2016 03:00,21,5,E,Mist,0.0,94,2,1012,74,24,20,21,9,21,1
9/1/2016 04:00,23,7,E,Mist,0.0,88,5,1013,68,25,21,23,11,25,1
9/1/2016 05:00,24,9,ENE,Partly cloudy,0.0,82,7,1013,62,27,21,24,12,27,1
9/1/2016 06:00,26,12,ENE,Partly cloudy,0.0,76,10,1013,55,28,21,26,14,28,1
9/1/2016 07:00,27,13,ENE,Partly cloudy,0.0,71,10,1013,57,29,21,27,16,29,1
9/1/2016 08:00,28,15,ENE,Partly cloudy,0.0,67,10,1014,58,30,21,28,18,30,1
9/1/2016 09:00,29,17,ENE,Partly cloudy,0.0,63,10,1014,59,31,21,29,19,31,1
9/1/2016 10:00,29,17,ENE,Partly cloudy,0.0,61,10,1013,66,31,21,29,20,31,1
9/1/2016 11:00,29,17,ENE,Cloudy,0.0,60,10,1012,72,32,21,29,20,32,1
9/1/2016 12:00,29,17,ENE,Cloudy,0.0,59,10,1011,78,32,20,29,20,32,1
9/1/2016 13:00,28,17,NE,Cloudy,0.0,62,10,1011,56,31,20,28,22,31,1
9/1/2016 14:00,28,17,NE,Sunny,0.0,65,10,1011,33,30,20,28,24,30,1
9/1/2016 15:00,27,17,NE,Sunny,0.0,69,10,1011,11,29,20,27,26,29,1
9/1/2016 16:00,25,15,ENE,Sunny,0.0,75,10,1012,11,27,20,25,25,27,1
9/1/2016 17:00,24,13,ENE,Sunny,0.0,81,10,1013,11,26,21,24,24,26,1
9/1/2016 18:00,23,12,ENE,Sunny,0.0,88,10,1013,10,25,21,23,23,25,1
9/1/2016 19:00,22,10,ENE,Clear,0.0,89,10,1014,15,25,20,22,20,25,1
9/1/2016 20:00,22,9,E,Clear,0.0,91,10,1014,19,25,20,22,18,25,1
9/1/2016 21:00,22,8,E,Clear,0.0,92,10,1014,24,24,20,22,15,22,1
9/1/2016 22:00,22,7,E,Clear,0.0,93,7,1014,32,24,20,22,13,22,1
9/1/2016 23:00,21,6,E,Mist,0.0,93,5,1013,40,24,20,21,12,21,1
10/1/2016 00:00,21,5,ENE,Mist,0.0,94,2,1013,48,24,20,21,10,21,1
10/1/2016 01:00,21,5,E,Mist,0.0,95,2,1013,55,24,20,21,10,21,1
10/1/2016 02:00,21,5,E,Mist,0.0,95,2,1013,61,24,20,21,10,21,1
10/1/2016 03:00,21,5,E,Mist,0.0,96,2,1013,68,24,21,21,10,21,1
10/1/2016 04:00,23,7,ENE,Mist,0.0,90,5,1013,66,25,21,23,11,25,1
10/1/2016 05:00,24,9,ENE,Partly cloudy,0.0,84,7,1014,64,27,21,24,12,27,1
10/1/2016 06:00,26,11,NE,Partly cloudy,0.0,79,10,1014,62,28,22,26,14,28,1
10/1/2016 07:00,27,13,ENE,Partly cloudy,0.0,73,10,1014,65,29,22,27,15,29,1
10/1/2016 08:00,28,14,ENE,Cloudy,0.0,67,10,1015,69,31,21,28,17,31,1
10/1/2016 09:00,30,16,ENE,Cloudy,0.0,61,10,1015,73,32,21,30,18,32,1
10/1/2016 10:00,30,17,ENE,Cloudy,0.0,60,10,1014,62,32,21,30,19,32,1
10/1/2016 11:00,30,18,ENE,Patchy rain possible,0.1,59,9,1013,50,33,21,30,21,33,1
10/1/2016 12:00,30,18,ENE,Patchy rain possible,0.1,59,9,1012,39,33,21,30,22,33,1
10/1/2016 13:00,29,18,ENE,Patchy rain possible,0.1,62,9,1012,40,32,21,29,23,32,1
10/1/2016 14:00,28,18,ENE,Partly cloudy,0.0,65,10,1012,41,30,21,28,25,30,1
10/1/2016 15:00,27,18,ENE,Partly cloudy,0.0,68,10,1012,42,29,21,27,26,29,1
10/1/2016 16:00,26,15,ENE,Partly cloudy,0.0,75,10,1013,39,28,21,26,24,28,1
10/1/2016 17:00,24,13,ENE,Partly cloudy,0.0,82,10,1013,36,27,21,24,22,27,1
10/1/2016 18:00,23,10,ENE,Partly cloudy,0.0,88,10,1014,34,25,21,23,20,25,1
10/1/2016 19:00,23,9,ENE,Partly cloudy,0.0,89,10,1014,47,25,21,23,17,25,1
10/1/2016 20:00,23,8,ENE,Cloudy,0.0,90,10,1015,60,25,21,23,15,25,1
10/1/2016 21:00,23,7,E,Cloudy,0.0,91,10,1015,73,25,21,23,12,25,1
10/1/2016 22:00,23,7,ENE,Cloudy,0.0,91,10,1015,69,25,21,23,12,25,1
10/1/2016 23:00,23,7,ENE,Partly cloudy,0.0,92,10,1014,66,25,21,23,12,25,1
11/1/2016 00:00,23,7,ENE,Partly cloudy,0.0,93,10,1014,62,25,21,23,12,25,1
11/1/2016 01:00,22,7,ENE,Partly cloudy,0.0,94,7,1014,63,25,21,22,13,25,1
11/1/2016 02:00,22,7,ENE,Mist,0.0,95,5,1014,63,25,21,22,13,25,1
11/1/2016 03:00,22,7,ENE,Mist,0.0,96,2,1014,64,25,21,22,14,22,1
11/1/2016 04:00,23,10,ENE,Mist,0.0,89,5,1014,64,26,21,23,15,26,1
11/1/2016 05:00,25,13,ENE,Cloudy,0.0,83,7,1014,63,27,21,25,17,27,1
11/1/2016 06:00,26,15,NE,Cloudy,0.0,76,10,1015,63,28,22,26,18,28,1
11/1/2016 07:00,27,16,NE,Cloudy,0.0,70,10,1015,64,30,21,27,19,30,1
11/1/2016 08:00,28,17,ENE,Cloudy,0.0,63,10,1015,66,31,21,28,19,31,1
11/1/2016 09:00,30,17,ENE,Cloudy,0.0,57,10,1015,67,32,20,30,20,32,1
11/1/2016 10:00,29,18,ENE,Cloudy,0.0,57,10,1014,71,32,20,29,21,32,1
11/1/2016 11:00,29,19,NE,Cloudy,0.0,58,10,1013,75,31,20,29,22,31,1
11/1/2016 12:00,29,20,NE,Cloudy,0.0,58,10,1012,79,31,20,29,23,31,1
11/1/2016 13:00,28,19,NE,Cloudy,0.0,61,10,1012,60,30,20,28,24,30,1
11/1/2016 14:00,27,18,NE,Sunny,0.0,64,10,1012,42,29,20,27,24,29,1
11/1/2016 15:00,26,17,NE,Sunny,0.0,67,10,1012,23,28,20,26,25,28,1
11/1/2016 16:00,25,15,ENE,Sunny,0.0,74,10,1012,19,27,20,25,24,27,1
11/1/2016 17:00,24,13,ENE,Sunny,0.0,80,10,1013,15,26,20,24,24,26,1
11/1/2016 18:00,22,12,ENE,Sunny,0.0,87,10,1014,11,25,20,22,23,25,1
11/1/2016 19:00,22,10,ENE,Clear,0.0,89,10,1014,19,25,20,22,20,25,1
11/1/2016 20:00,22,8,ENE,Partly cloudy,0.0,90,10,1014,27,24,20,22,17,22,1
11/1/2016 21:00,21,7,ENE,Partly cloudy,0.0,92,10,1014,35,24,20,21,14,21,1
11/1/2016 22:00,21,7,E,Partly cloudy,0.0,92,10,1014,37,24,20,21,14,21,1
11/1/2016 23:00,21,7,E,Partly cloudy,0.0,93,10,1014,39,23,20,21,14,21,1
12/1/2016 00:00,21,7,E,Partly cloudy,0.0,93,10,1013,42,23,20,21,14,21,1
12/1/2016 01:00,21,7,E,Partly cloudy,0.0,93,10,1013,44,22,20,21,14,21,1
12/1/2016 02:00,21,7,E,Partly cloudy,0.0,93,10,1013,46,21,20,21,15,21,1
12/1/2016 03:00,21,7,E,Partly cloudy,0.0,94,10,1013,48,21,20,21,15,21,1
12/1/2016 04:00,22,10,E,Partly cloudy,0.0,87,10,1013,46,23,20,22,15,23,1
12/1/2016 05:00,24,12,ENE,Partly cloudy,0.0,80,10,1013,43,25,20,24,16,25,1
12/1/2016 06:00,26,14,ENE,Partly cloudy,0.0,73,10,1013,40,27,20,26,17,27,1
12/1/2016 07:00,27,16,ENE,Partly cloudy,0.0,67,10,1013,36,29,20,27,19,29,1
12/1/2016 08:00,28,18,NE,Partly cloudy,0.0,61,10,1013,31,30,20,28,21,30,1
12/1/2016 09:00,29,20,NE,Partly cloudy,0.0,55,10,1013,27,31,19,29,23,31,1
12/1/2016 10:00,29,20,NE,Partly cloudy,0.0,56,10,1012,43,31,19,29,23,31,1
12/1/2016 11:00,29,21,NE,Cloudy,0.0,56,10,1011,59,31,19,29,24,31,1
12/1/2016 12:00,29,21,NE,Cloudy,0.0,57,10,1010,75,30,19,29,24,30,1
12/1/2016 13:00,28,18,NE,Cloudy,0.0,60,10,1010,59,29,19,28,23,29,1
